analysis,metric,estimate,ci_low,ci_high,median_question_effect,median_ci_low,median_ci_high,question_weighted_positive_pair_probability,positive_probability_ci_low,positive_probability_ci_high,question_weighted_zero_pair_probability,zero_probability_ci_low,zero_probability_ci_high,question_weighted_negative_pair_probability,negative_probability_ci_low,negative_probability_ci_high,fraction_questions_positive_mean,fraction_questions_positive_mean_ci_low,fraction_questions_positive_mean_ci_high,sign_flip_p_two_sided,sign_flip_p_holm_primary,questions,pairs
Any missing support added,Native sufficiency margin,5.890248614766754,5.478941089399528,6.2871307452983425,6.335937451002337,5.7968750155268935,6.539062602408649,0.98486328125,0.9740397135416667,0.9935709635416666,0.000244140625,0.0,0.000732421875,0.014892578124999998,0.006266276041666666,0.025797526041666664,1.0,1.0,1.0,4.9999750001249995e-06,2.9999850000749997e-05,64,1072
Any missing support added,Sufficiency likelihood,0.44896918802194086,0.4292091577922373,0.4668402185336947,0.49557591628172426,0.4930644625845245,0.4966459465766324,0.98486328125,0.97412109375,0.99365234375,0.00048828125,0.0,0.00146484375,0.014892578124999998,0.006184895833333333,0.02620442708333333,1.0,1.0,1.0,4.9999750001249995e-06,2.9999850000749997e-05,64,1072
Any missing support added,Answer accuracy,0.4439778645833333,0.41920572916666665,0.46673177083333334,0.5,0.5,0.5,0.5208333333333333,0.4873046875,0.5556640625,0.475830078125,0.44181315104166663,0.5101725260416666,0.0033365885416666665,0.00048828125,0.007080078125,1.0,1.0,1.0,4.9999750001249995e-06,2.9999850000749997e-05,64,1072
Any missing support added,Strict exact match,0.4431966145833333,0.4184244791666667,0.46611409505208334,0.5,0.5,0.5,0.5188802083333333,0.48486328125,0.55419921875,0.477783203125,0.44368489583333337,0.5113118489583333,0.0033365885416666665,0.00048828125,0.007080078125,1.0,1.0,1.0,4.9999750001249995e-06,,64,1072
Any missing support added,Input tokens,0.03125,-0.36848958333333326,0.42972005208333286,-0.16666666666666666,-0.5833333333333333,0.5,0.41276041666666663,0.3177083333333333,0.50390625,0.19010416666666663,0.13151041666666666,0.25260416666666663,0.39713541666666663,0.3125,0.4830729166666667,0.40625,0.28125,0.53125,0.8864255678721606,,64,1072
Completing support added,Native sufficiency margin,6.689860024639181,6.319390895768943,7.056569451512457,6.765624976809704,6.476171776340834,7.171875074502168,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.9999750001249995e-06,2.9999850000749997e-05,64,302
Completing support added,Sufficiency likelihood,0.28788306200368463,0.24523015219586647,0.3310908416481674,0.27323653858793895,0.22855946930230292,0.3456640306142835,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.9999750001249995e-06,2.9999850000749997e-05,64,302
Completing support added,Answer accuracy,0.5169270833333334,0.4692708333333333,0.5653645833333334,0.5,0.5,0.5,0.6067708333333333,0.5416666666666666,0.671875,0.39322916666666663,0.3294270833333333,0.45703125,0.0,0.0,0.0,0.984375,0.953125,1.0,4.9999750001249995e-06,2.9999850000749997e-05,64,302
Completing support added,Strict exact match,0.5161458333333333,0.4682291666666667,0.5653645833333333,0.5,0.5,0.5,0.6067708333333333,0.54296875,0.671875,0.39322916666666663,0.328125,0.4583333333333333,0.0,0.0,0.0,0.984375,0.953125,1.0,4.9999750001249995e-06,,64,302
Completing support added,Input tokens,0.03125,-0.3671875,0.43359375,-0.16666666666666666,-0.5833333333333333,0.5,0.41276041666666663,0.32291666666666663,0.5052083333333333,0.19010416666666663,0.13151041666666666,0.25260416666666663,0.39713541666666663,0.31119791666666663,0.484375,0.40625,0.296875,0.53125,0.8860755696221518,,64,302
