analysis,metric,order_first,order_first_estimate,order_first_ci_low,order_first_ci_high,order_second,order_second_estimate,order_second_ci_low,order_second_ci_high,second_minus_first,difference_ci_low,difference_ci_high,question_rank_correlation,questions
Any missing support added,Native sufficiency margin,0,6.071980796595904,5.629391974371792,6.499263986547237,1,5.708516432937602,5.3162760449877995,6.094173682859653,-0.36346436365830204,-0.5249644208538865,-0.2004343527127221,0.872481684981685,64
Any missing support added,Sufficiency likelihood,0,0.4481826502529484,0.4283900111256238,0.4668812274662983,1,0.44975572579093315,0.4303876030814319,0.46770259207711185,0.001573075537984689,-0.004864665535258569,0.009887052863085591,0.910668498168498,64
Any missing support added,Answer accuracy,0,0.44407552083333335,0.4185546875,0.46744791666666663,1,0.4438802083333333,0.41914062500000004,0.4658203125,-0.00019531250000000017,-0.005989583333333331,0.005143229166666664,0.9583091931863522,64
Any missing support added,Strict exact match,0,0.4425130208333333,0.4164697265625,0.46614746093750004,1,0.4438802083333333,0.41914062500000004,0.46640625,0.0013671874999999995,-0.005013020833333333,0.007812499999999998,0.9357816145799109,64
Any missing support added,Input tokens,0,0.03125,-0.36982421874999993,0.44401041666666663,1,0.03125,-0.3645833333333333,0.44010416666666663,0.0,0.0,0.0,1.0,64
Completing support added,Native sufficiency margin,0,7.037353513514436,6.604329431327587,7.456715888684867,1,6.342366535763925,5.962705523322572,6.713549792926577,-0.6949869777505112,-1.0005737522801574,-0.37491454011036346,0.6565018315018314,64
Completing support added,Sufficiency likelihood,0,0.2666161133286913,0.2225735364773322,0.31142657775463317,1,0.309150010678678,0.26385620521017356,0.35413339199731597,0.04253389734998661,0.025640715010891477,0.06090863660383352,0.9184981684981685,64
Completing support added,Answer accuracy,0,0.51484375,0.46484375,0.5658854166666667,1,0.5190104166666667,0.46979166666666666,0.5697916666666667,0.004166666666666671,-0.01614583333333333,0.02552083333333334,0.8737451147172561,64
Completing support added,Strict exact match,0,0.51328125,0.4640625,0.5625065104166665,1,0.5190104166666667,0.46978515624999995,0.5700520833333333,0.005729166666666671,-0.013541666666666667,0.027083333333333338,0.8733306057863234,64
Completing support added,Input tokens,0,0.03125,-0.3763020833333333,0.4296875,1,0.03125,-0.3802083333333333,0.4297526041666657,0.0,0.0,0.0,1.0,64
