question_id,run,offset,sufficiency_likelihood,native_margin,answer_accuracy
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,-2,0.9933071497536828,5.000000101979822,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,-1,0.9099070109242132,2.3125000596046448,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,0.9740426434850707,3.625000027008354,0.8
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,0.9959298620075718,5.499999931780621,0.8
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,1,-2,0.5312093733737563,0.125,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,1,-1,0.9796676474921346,3.875000041909516,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,1,0,0.999512142966951,7.62500018402352,0.8
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,1,1,0.9940889325091624,5.125000232364982,0.4
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,-2,0.334589441253186,-0.6875,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,-1,0.9525741236248058,2.9999999292194843,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,0,0.998674977644098,6.625000046333298,0.6
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,3,-2,0.8670357460591569,1.8749998807907104,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,3,-1,0.9399133468805266,2.749999947845936,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,3,0,0.9990302482047776,6.937500178115442,0.8
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,1,-2,0.9859363705031758,4.249999823048711,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,1,-1,0.9820137919789702,4.000000109896064,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,1,0,0.9989677689617448,6.8749999985448085,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,1,-2,0.9149009491921662,2.374999925494194,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,1,-1,0.8175744828610095,1.5000000447034836,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,1,0,0.9990302479753176,6.93749994126847,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,2,-2,0.9324533032291502,2.624999910593033,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,2,-1,0.946596671895044,2.8750000335276127,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,2,0,0.9984988176547924,6.499999940977432,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,3,-2,0.9399133488792356,2.7499999832361937,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,3,-1,0.977022629295484,3.749999964609742,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,3,0,0.9988304896010288,6.749999885360012,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,1,-2,0.0203323540475954,-3.874999964609742,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,1,-1,0.9626731157347208,3.250000085681677,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,1,0,0.9998204720122832,8.62499989765638,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,2,-2,0.9924227581491072,4.874999922467396,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,2,-1,0.9947798734673536,5.249999838415533,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,2,0,0.9998601779591674,8.875000249026925,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,3,-2,0.0203323547710832,-3.8749999282881618,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,3,-1,0.9669140248290712,3.375000100582838,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,3,0,0.9994115911099544,7.4374998784333,0.8
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,1,-2,0.9465966754730988,2.8750001043081284,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,1,-1,0.9603611632389424,3.18750006146729,0.0
