analysis,estimate,ci_low,ci_high,unit
Controlled support addition: likelihood change,0.44896918802194086,0.42886865106379424,0.46677474340950986,difference
Controlled support addition: answer change,0.4439778645833333,0.41861735026041663,0.46673258463541667,difference
Completing support: likelihood change,0.28788306200368463,0.24470863749967683,0.33132790130856116,difference
Completing support: answer change,0.5169270833333334,0.47005208333333337,0.5653645833333334,difference
Natural support gain: margin rises,0.863967803030303,0.8220407196969697,0.9043323863636363,fraction
Sufficiency rise: support gained,0.3907400248852455,0.35752263157594044,0.42327379058594594,fraction
No support gain: margin rises,0.719784492495164,0.671509590659679,0.7669351828961749,fraction
Sufficiency onset before full coverage,0.6927083333333333,0.6041666666666666,0.78125,fraction
Sufficiency onset; full coverage never observed,0.28125,0.19791666666666666,0.36979166666666663,fraction
Reversal after sufficiency onset,0.17460317460317454,0.10582010582010581,0.25396825396825395,fraction
