sample,metric,estimate,ci_low,ci_high,eligible_questions,denominator_transitions
unconflicted,P(margin rises | support gained),0.863967803030303,0.8220407196969697,0.9043323863636363,64,287
unconflicted,P(support gained | margin rises),0.3907400248852455,0.35752263157594044,0.42327379058594594,64,691
unconflicted,P(margin rises | no support gained),0.719784492495164,0.671509590659679,0.7669351828961749,64,702
unconflicted,"P(margin rises | package changed, no support gained)",0.6620775729646696,0.5287442396313364,0.7891364247311824,31,94
unconflicted,P(margin rises | package unchanged),0.7163216783565152,0.6672501823744104,0.7659310798636143,64,608
unconflicted,Support-gain base rate,0.3494508911750522,0.31744063906244196,0.3801711791594065,64,989
unconflicted,Mean margin change | support gained,3.0528640773632185,2.716263223209763,3.4056073001316287,64,287
unconflicted,Mean margin change | no support gained,2.663289323491986,2.2498189463955374,3.083486506844118,64,702
unconflicted,Mean margin change | package unchanged,2.6917234353682558,2.269200590499822,3.126039674068201,64,608
unconflicted,AUPRC: margin change predicts support gain,0.36011347393168325,0.33609466318513687,0.39729949640115225,64,989
unconflicted,AUPRC baseline: support-gain prevalence,0.3494508911750521,0.31663849440557257,0.3820908163407147,64,989
