run,subset,questions,trajectories,correct,matched_trajectories,sufficient,insufficient,package_incomplete,handoff_incomplete,sufficient_package_incomplete,sufficient_handoff_incomplete,sufficient_package_incomplete_correct,sufficient_handoff_incomplete_correct,at_search_cap
rq1_qwen,primary64,64,64,34.0,64,52,12,32,32,21,21,2,2,18
rq1_qwen,full100,100,100,40.0,100,71,29,61,61,34,34,4,4,41
rq1_gpt4o,primary64,64,64,7.0,64,55,9,54,54,47,47,3,3,9
rq1_gpt4o,full100,100,100,10.0,100,86,14,87,87,75,75,4,4,15
rq1_gpt5,primary64,64,64,23.0,64,44,20,43,43,27,27,5,5,30
rq1_gpt5,full100,100,100,29.0,100,63,37,72,72,40,40,8,8,51
qwen_repeat1,primary64,64,64,43.0,64,62,2,17,17,15,15,1,1,5
qwen_repeat1,full100,100,100,48.0,100,93,7,39,39,33,33,2,2,12
qwen_repeat2,primary64,64,64,39.0,64,61,3,21,21,19,19,1,1,3
qwen_repeat2,full100,100,100,41.0,100,90,10,45,45,37,37,1,1,16
qwen_repeat3,primary64,64,64,41.0,64,61,3,20,20,19,19,2,2,8
qwen_repeat3,full100,100,100,44.0,100,93,7,43,43,40,40,3,3,18
