round,question_id,decision_step,trajectory_length,tau,r,margin,native_probability,positive_replicas,correct,replica_margin_sd,run_question,native_positive,delta_r,delta_margin,evidence_gain,full_coverage
round3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,6,6,1.0,1.0,5.499999931780621,0.9959298620075718,1.0,True,8.396442476779671e-08,round3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,True,0.0,1.8749999047722667,False,True
round3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,4,4,1.0,1.0,6.937500178115442,0.9990283590572966,1.0,True,0.08838834814222682,round3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,True,1.0,4.187500230269507,True,True
round3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,4,4,1.0,0.75,3.875000001862645,0.9796676466944432,1.0,False,1.2644054506165437e-07,round3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,True,0.75,2.250000039115548,True,False
round3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,14,14,1.0,0.3333333333333333,-1.9375000968575478,0.12608357040382645,0.0,False,0.08838833711160632,round3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,False,0.0,-2.0625000968575478,False,False
round3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,3,3,1.0,0.5,7.750000093714334,0.9995694429590072,1.0,False,0.0,round3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,True,0.5,4.875000093714334,True,False
round3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,5,5,1.0,1.0,6.749999885360012,0.9987938831545948,1.0,True,0.3535533028833771,round3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,True,0.5,2.9999999207502697,True,True
round3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,3,3,1.0,1.0,7.4374998784333,0.9994104435294666,1.0,True,0.08838840111390069,round3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,True,1.0,4.062499777850462,True,True
round3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,5,5,1.0,1.0,6.624999989347998,0.9986749775686914,1.0,True,8.421137895829023e-08,round3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,True,0.5,2.562499967927579,True,True
round3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,15,15,1.0,0.75,5.1875000081490725,0.9944344028038459,1.0,False,0.088388208366155,round3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,True,0.0,-0.6874998814892024,False,False
round3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,9,9,1.0,0.3333333333333333,-5.12500014482066,0.00591106800525905,0.0,False,1.2051364496083762e-07,round3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,False,0.0,-0.25000007869675756,False,False
round3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,13,13,1.0,0.25,5.812499927706085,0.99701319488424,1.0,False,0.08838831455645692,round3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,True,0.0,2.4374999966239557,False,False
round3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,26,26,1.0,0.75,1.3750000521540642,0.79818678614084,1.0,False,1.0536712127723509e-08,round3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,True,0.0,1.3125000521540642,False,False
round3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,17,17,1.0,0.75,-2.0000000298023224,0.1192029188930649,0.0,False,6.322027276634104e-08,round3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,False,0.0,1.3125000074505806,False,False
round3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,6,6,1.0,1.0,6.750000033935066,0.9988304897745854,1.0,False,2.52963409128862e-07,round3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,True,0.6666666666666667,4.50000007491326,True,True
round3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,5,5,1.0,1.0,5.812500039348379,0.9970131952385692,1.0,True,0.08838814712151576,round3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,True,0.0,2.25000002537854,False,True
