round,question_id,decision_step,trajectory_length,tau,r,margin,native_probability,positive_replicas,correct,conflicted,replica_margin_sd,run_question,native_positive,delta_r,delta_margin,evidence_gain
Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,1,6,0.1666666666666666,0.0,-4.812499966239557,0.008077363550208801,0.0,True,False,0.08838817214620706,Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,False,,,False
Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,2,6,0.3333333333333333,0.0,1.7500000149011612,0.8519528038477825,1.0,True,False,0.0,Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,True,0.0,6.562499981140718,False
Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,6,0.5,0.6666666666666666,5.000000101979822,0.9933071497536828,1.0,True,False,0.0,Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,True,0.6666666666666666,3.2500000870786607,True
Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,4,6,0.6666666666666666,0.6666666666666666,2.3125000596046448,0.9097757497188808,1.0,True,False,0.08838842140530334,Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,True,0.0,-2.687500042375177,False
Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,5,6,0.8333333333333334,1.0,3.6250000270083547,0.9740426434850709,1.0,True,False,8.297660784881338e-08,Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,True,0.33333333333333337,1.3124999674037099,True
Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,6,6,1.0,1.0,5.499999931780621,0.9959298620075718,1.0,True,False,8.396442476779671e-08,Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,True,0.0,1.8749999047722667,False
Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,1,4,0.25,0.0,-3.750000052154064,0.0229773687391976,0.0,True,False,0.0,Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,False,,,False
Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,4,0.5,0.0,1.8749998807907104,0.8670357460591569,1.0,True,False,0.0,Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,True,0.0,5.624999932944775,False
Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,3,4,0.75,0.0,2.749999947845936,0.9399133468805266,1.0,True,False,0.0,Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,True,0.0,0.8750000670552254,False
Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,4,4,1.0,1.0,6.937500178115442,0.9990283590572966,1.0,True,False,0.08838834814222682,Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,True,1.0,4.187500230269507,True
Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,1,4,0.25,0.0,-5.3125000218860805,0.00491484887517665,0.0,False,True,0.08838856167528353,Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,False,,,False
Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,2,4,0.5,0.0,-1.3750000074505806,0.20256282984759788,0.0,False,True,0.1767766636865005,Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,False,0.0,3.9375000144355,False
Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,3,4,0.75,0.0,1.624999962747097,0.8354835319829956,1.0,False,True,1.0536712127723509e-08,Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,True,0.0,2.9999999701976776,False
Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,4,4,1.0,0.75,3.875000001862645,0.9796676466944432,1.0,False,True,1.2644054506165437e-07,Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,True,0.75,2.250000039115548,True
Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,1,14,0.0714285714285714,0.0,-5.12499990966171,0.00591106938708315,0.0,False,True,3.490285892308412e-08,Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,False,,,False
