tau,questions,r_mean,r_ci_low,r_ci_high,margin_mean,margin_ci_low,margin_ci_high
0.0,100,0.0,0.0,0.0,-4.41249999298947,-4.53367187554168,-4.327781243184465
0.02,100,0.0,0.0,0.0,-4.41249999298947,-4.514203115976649,-4.323484373517043
0.04,100,0.0,0.0,0.0,-4.410049992999527,-4.501773115575825,-4.274620625096151
0.06,100,0.0,0.0,0.0,-4.371224993456621,-4.447939988685679,-4.2052531200911965
0.08,100,0.0,0.0,0.0,-4.275774994200143,-4.415370617807455,-4.1438306244657825
0.1,100,0.0,0.0,0.0,-4.090187495133374,-4.244704674966784,-3.915781251089915
0.12,100,0.0025,0.0,0.0075,-3.8584749956509796,-4.081688115381847,-3.671087493827228
0.14,100,0.0025,0.0,0.009437499999999996,-3.6023374966151427,-3.8660115531517407,-3.398531563020611
0.16,100,0.005,0.0,0.011937499999999997,-3.3390499967123377,-3.6218937600580547,-2.917573116181885
0.18,100,0.005,0.0,0.0125,-3.0808874969896505,-3.456581251415139,-2.7683468752605576
0.2,100,0.0075,0.0005625000000000003,0.014437499999999995,-2.822499997543695,-3.142746882577313,-2.470459376086425
0.22,100,0.01583333333333333,0.0032500000000000003,0.02814583333333333,-2.4139124988307996,-2.7878434437075477,-2.042951886619463
0.24,100,0.03166666666666666,0.006125,0.047770833333333325,-2.0181999995705087,-2.5640950114724665,-1.577338749132797
0.26,100,0.034166666666666665,0.016854166666666667,0.06793749999999998,-1.5616500004961373,-2.024445945077859,-0.9843256298230101
0.28,100,0.04416666666666666,0.025,0.065,-1.0794750022044717,-1.6068587532777219,-0.6545887527723864
0.3,100,0.07,0.05120833333333333,0.10675,-0.6839375039884547,-1.112229697254631,-0.31358906893220656
0.32,100,0.07833333333333332,0.04666666666666666,0.11793749999999999,-0.4240250044107961,-0.9631375092869856,0.10967249205112524
0.34,100,0.08666666666666666,0.06102083333333333,0.13024999999999998,-0.21013750457099079,-0.6424718815375129,0.19343155880354196
0.36,100,0.08666666666666666,0.050291666666666665,0.12564583333333332,-0.007475004727315042,-0.4061768773776901,0.3585518682155633
0.38,100,0.09666666666666666,0.05945833333333333,0.12516666666666668,0.21829999540655556,-0.15535532223978135,0.710280620810276
0.4,100,0.10749999999999998,0.06845833333333333,0.158875,0.4478749948429469,-0.07384062532617669,0.7627343683070351
0.42,100,0.10749999999999998,0.067875,0.1519791666666666,0.5896249950141167,0.10594499525392186,1.1887462446508896
0.44,100,0.13999999999999999,0.09308333333333332,0.18212499999999998,0.70059999587833,0.2399031276541698,1.1557237460770533
0.46,100,0.145,0.11185416666666667,0.18610416666666665,0.8065999967657029,0.2701562467982027,1.1437253048223335
0.48,100,0.15249999999999997,0.11843749999999999,0.19868750000000002,0.9016749973738101,0.617573746727258,1.1843543716130893
0.5,100,0.19,0.12927083333333333,0.24897916666666664,0.9912499979883432,0.5496406246028418,1.2912968772347375
0.52,100,0.19,0.1441875,0.24110416666666665,1.047049997498421,0.6630462448096293,1.4332968738844114
0.54,100,0.19,0.12772916666666667,0.23777083333333332,1.1099124970907814,0.7393237418055676,1.4226949956649202
0.56,100,0.19833333333333333,0.1424375,0.25629166666666664,1.1886249976604248,0.7888237473385015,1.4779193727726538
0.58,100,0.20666666666666667,0.16029166666666667,0.2529375,1.281399997901893,0.8682568689121651,1.624138432222332
0.6,100,0.31,0.2530833333333333,0.36591666666666667,1.3908749974721573,1.0509249980163353,1.7225562431350931
0.62,100,0.31,0.2530625,0.36247916666666663,1.4801874965792872,0.9714996832788781,1.872817807759508
0.64,100,0.315,0.2687083333333333,0.3475833333333333,1.5454749957776863,1.0940037525453135,1.8704368694989564
0.66,100,0.315,0.2687083333333333,0.3673958333333333,1.6168124950029072,1.3001796748357255,2.1316637413396133
0.68,100,0.3466666666666666,0.29289583333333336,0.40712499999999996,1.6927499942933297,1.3144887399867708,1.9881718685618281
0.7000000000000001,100,0.3466666666666666,0.28493749999999995,0.4000833333333333,1.7791874933286675,1.3766374989194763,2.229121873053088
0.72,100,0.37499999999999994,0.31931249999999994,0.4379166666666666,1.863724991794082,1.5003049870051868,2.2905093626760995
