run_question,round,question_id,first_visible_any_tau,first_visible_any_step,first_s_positive_tau,first_s_positive_step,first_committed_any_tau,first_committed_any_step,first_visible_full_tau,first_visible_full_step,first_committed_full_tau,first_committed_full_step
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.25,2.0,0.25,2.0,0.375,3.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,0.3333333333333333,2.0,0.3333333333333333,2.0,0.5,3.0,0.6666666666666666,4.0,0.8333333333333334,5.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,0.3333333333333333,2.0,0.6666666666666666,4.0,1.0,6.0,0.8333333333333334,5.0,1.0,6.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,0.1428571428571428,2.0,0.2142857142857142,3.0,0.2142857142857142,3.0,0.3571428571428571,5.0,0.4285714285714285,6.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,0.4,2.0,0.4,2.0,0.6,3.0,0.8,4.0,1.0,5.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,0.5,2.0,0.5,2.0,1.0,4.0,0.75,3.0,1.0,4.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,0.6666666666666666,2.0,0.6666666666666666,2.0,1.0,3.0,0.6666666666666666,2.0,1.0,3.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,0.5,2.0,0.5,2.0,1.0,4.0,1.0,4.0,1.0,4.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,0.25,2.0,0.375,3.0,0.375,3.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,0.1818181818181818,2.0,,,0.6363636363636364,7.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,0.4,2.0,0.4,2.0,0.6,3.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,0.4,2.0,0.4,2.0,0.6,3.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,0.2857142857142857,2.0,0.4285714285714285,3.0,0.7142857142857143,5.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,0.4285714285714285,3.0,0.4285714285714285,3.0,1.0,7.0,0.7142857142857143,5.0,1.0,7.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,0.5,2.0,0.5,2.0,0.75,3.0,0.75,3.0,0.75,3.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,0.2222222222222222,2.0,0.2222222222222222,2.0,0.3333333333333333,3.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,0.4,2.0,0.4,2.0,0.6,3.0,0.8,4.0,1.0,5.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,0.6666666666666666,2.0,0.6666666666666666,2.0,1.0,3.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,0.25,2.0,0.375,3.0,0.375,3.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,0.6666666666666666,2.0,0.6666666666666666,2.0,1.0,3.0,0.6666666666666666,2.0,1.0,3.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,0.25,2.0,0.375,3.0,0.5,4.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,0.4,2.0,0.4,2.0,0.6,3.0,1.0,5.0,1.0,5.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,0.5,2.0,0.5,2.0,1.0,4.0,0.75,3.0,1.0,4.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,0.6666666666666666,2.0,0.6666666666666666,2.0,1.0,3.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,0.6666666666666666,2.0,0.6666666666666666,2.0,1.0,3.0,0.6666666666666666,2.0,1.0,3.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,0.4,2.0,0.4,2.0,0.6,3.0,0.8,4.0,1.0,5.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no32,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no32,0.3181818181818182,7.0,,,0.8636363636363636,19.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,0.1666666666666666,2.0,0.1666666666666666,2.0,0.25,3.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no34,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no34,0.1538461538461538,2.0,,,0.4615384615384615,6.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,0.25,2.0,0.25,2.0,0.5,4.0,0.875,7.0,1.0,8.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,0.2,2.0,0.5,5.0,0.4,4.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no37,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no37,0.5,2.0,0.5,2.0,1.0,4.0,0.75,3.0,1.0,4.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no38,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no38,0.5,2.0,0.5,2.0,1.0,4.0,0.75,3.0,1.0,4.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no39,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no39,0.2,2.0,0.3,3.0,0.3,3.0,0.4,4.0,0.5,5.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no4,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no4,0.8,4.0,0.6,3.0,1.0,5.0,0.8,4.0,1.0,5.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no40,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no40,0.4,2.0,0.4,2.0,0.6,3.0,0.8,4.0,1.0,5.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no41,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no41,0.1666666666666666,2.0,0.25,3.0,0.25,3.0,0.1666666666666666,2.0,0.5833333333333334,7.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no42,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no42,0.2857142857142857,2.0,0.2857142857142857,2.0,0.4285714285714285,3.0,0.8571428571428571,6.0,1.0,7.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no43,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no43,0.3333333333333333,2.0,0.6666666666666666,4.0,0.5,3.0,0.8333333333333334,5.0,1.0,6.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no44,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no44,0.4,2.0,0.4,2.0,1.0,5.0,0.6,3.0,1.0,5.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no45,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no45,0.4,2.0,0.4,2.0,0.6,3.0,0.8,4.0,1.0,5.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no46,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no46,0.4,2.0,0.4,2.0,,,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no47,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no47,0.375,3.0,0.25,2.0,0.375,3.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no48,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no48,0.2857142857142857,4.0,0.1428571428571428,2.0,0.2857142857142857,4.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no49,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no49,0.5,2.0,0.5,2.0,1.0,4.0,1.0,4.0,1.0,4.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no5,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no5,0.25,2.0,0.375,3.0,0.375,3.0,0.75,6.0,0.75,6.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no50,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no50,0.5,2.0,0.5,2.0,1.0,4.0,0.75,3.0,1.0,4.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no51,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no51,0.6,3.0,0.6,3.0,0.6,3.0,0.8,4.0,1.0,5.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no52,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no52,0.3333333333333333,2.0,0.3333333333333333,2.0,1.0,6.0,0.8333333333333334,5.0,1.0,6.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no53,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no53,0.3333333333333333,2.0,0.3333333333333333,2.0,0.6666666666666666,4.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no54,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no54,0.3333333333333333,2.0,0.3333333333333333,2.0,0.6666666666666666,4.0,0.8333333333333334,5.0,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no55,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no55,0.2222222222222222,2.0,0.3333333333333333,3.0,0.3333333333333333,3.0,0.6666666666666666,6.0,0.7777777777777778,7.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no56,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no56,0.6666666666666666,2.0,0.6666666666666666,2.0,1.0,3.0,0.6666666666666666,2.0,1.0,3.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no57,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no57,0.0909090909090909,2.0,0.1363636363636363,3.0,0.1818181818181818,4.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no58,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no58,0.1818181818181818,2.0,0.2727272727272727,3.0,0.2727272727272727,3.0,1.0,11.0,1.0,11.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no59,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no59,0.6666666666666666,2.0,0.6666666666666666,2.0,1.0,3.0,0.6666666666666666,2.0,1.0,3.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no6,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no6,0.6666666666666666,2.0,0.6666666666666666,2.0,1.0,3.0,0.6666666666666666,2.0,1.0,3.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no60,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no60,0.6666666666666666,2.0,0.6666666666666666,2.0,1.0,3.0,,,,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no61,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no61,0.5,2.0,0.5,2.0,1.0,4.0,0.75,3.0,1.0,4.0
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no62,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no62,0.5,2.0,0.5,2.0,1.0,4.0,0.75,3.0,1.0,4.0
