run_question,round,question_id,committed_class,visible_class,current_preview_has_gold,first_positive_tau
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,None,Partial,True,0.25
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,None,Partial,True,0.3333333333333333
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,None,Partial,True,0.6666666666666666
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,Partial,Partial,True,0.2142857142857142
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,None,Partial,True,0.4
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,None,Partial,True,0.5
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,None,Complete,True,0.6666666666666666
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,None,Partial,True,0.5
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,Partial,Partial,True,0.375
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,Never,Never,False,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,None,Partial,True,0.4
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,None,Partial,True,0.4
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,None,Partial,True,0.4285714285714285
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,None,Partial,True,0.4285714285714285
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,None,Partial,True,0.5
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,None,Partial,True,0.2222222222222222
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,None,Partial,True,0.4
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,None,Partial,True,0.6666666666666666
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,Partial,Partial,True,0.375
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,None,Complete,True,0.6666666666666666
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,None,Partial,False,0.375
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,None,Partial,True,0.4
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,None,Partial,True,0.5
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,None,Partial,True,0.6666666666666666
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,None,Complete,True,0.6666666666666666
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,None,Partial,True,0.4
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no32,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no32,Never,Never,False,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,None,Partial,True,0.1666666666666666
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no34,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no34,Never,Never,False,
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,None,Partial,True,0.25
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,Partial,Partial,True,0.5
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no37,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no37,None,Partial,True,0.5
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no38,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no38,None,Partial,True,0.5
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no39,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no39,Partial,Partial,True,0.3
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no4,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no4,None,None,False,0.6
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no40,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no40,None,Partial,True,0.4
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no41,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no41,Partial,Complete,True,0.25
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no42,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no42,None,Partial,True,0.2857142857142857
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no43,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no43,Partial,Partial,False,0.6666666666666666
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no44,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no44,None,Partial,True,0.4
