method,retained_fraction,accuracy
只按 S 排序,0.1,0.8
只按 S 排序,0.11,0.7272727272727273
只按 S 排序,0.12000000000000001,0.7222222222222222
只按 S 排序,0.13,0.6923076923076923
只按 S 排序,0.14,0.6904761904761905
只按 S 排序,0.15000000000000002,0.6666666666666666
只按 S 排序,0.16,0.6875
只按 S 排序,0.17,0.6862745098039216
只按 S 排序,0.18,0.6851851851851852
只按 S 排序,0.19,0.6666666666666666
只按 S 排序,0.2,0.6833333333333333
只按 S 排序,0.21000000000000002,0.6666666666666666
只按 S 排序,0.22,0.6666666666666666
只按 S 排序,0.23,0.6666666666666666
只按 S 排序,0.24000000000000002,0.6527777777777778
只按 S 排序,0.25,0.64
只按 S 排序,0.26,0.6538461538461539
只按 S 排序,0.27,0.654320987654321
只按 S 排序,0.28,0.6547619047619048
只按 S 排序,0.29000000000000004,0.6551724137931034
只按 S 排序,0.30000000000000004,0.6444444444444445
只按 S 排序,0.31,0.6451612903225806
只按 S 排序,0.32,0.6354166666666666
只按 S 排序,0.33,0.6363636363636364
只按 S 排序,0.33999999999999997,0.6470588235294118
只按 S 排序,0.35,0.6476190476190476
只按 S 排序,0.36,0.6388888888888888
只按 S 排序,0.37,0.6306306306306306
只按 S 排序,0.38,0.6140350877192983
只按 S 排序,0.39,0.6153846153846154
只按 S 排序,0.4,0.6083333333333333
只按 S 排序,0.41000000000000003,0.5934959349593496
只按 S 排序,0.42000000000000004,0.5952380952380952
只按 S 排序,0.43000000000000005,0.5968992248062015
只按 S 排序,0.44000000000000006,0.5984848484848485
只按 S 排序,0.45000000000000007,0.5925925925925926
只按 S 排序,0.45999999999999996,0.5942028985507246
只按 S 排序,0.47,0.5815602836879432
只按 S 排序,0.48,0.5902777777777778
只按 S 排序,0.49,0.5850340136054422
只按 S 排序,0.5,0.5866666666666667
只按 S 排序,0.51,0.5816993464052288
只按 S 排序,0.52,0.5833333333333334
只按 S 排序,0.53,0.5849056603773585
只按 S 排序,0.54,0.5802469135802469
只按 S 排序,0.55,0.5818181818181818
只按 S 排序,0.56,0.5773809523809523
只按 S 排序,0.5700000000000001,0.5730994152046783
只按 S 排序,0.58,0.5689655172413793
只按 S 排序,0.59,0.5706214689265536
只按 S 排序,0.6,0.5666666666666667
只按 S 排序,0.61,0.5683060109289617
只按 S 排序,0.62,0.5645161290322581
只按 S 排序,0.63,0.5608465608465608
只按 S 排序,0.64,0.5572916666666666
只按 S 排序,0.65,0.5538461538461539
只按 S 排序,0.66,0.5454545454545454
只按 S 排序,0.67,0.5472636815920398
只按 S 排序,0.6799999999999999,0.5441176470588235
只按 S 排序,0.69,0.5458937198067633
只按 S 排序,0.7,0.5428571428571428
只按 S 排序,0.71,0.539906103286385
只按 S 排序,0.72,0.5324074074074074
只按 S 排序,0.73,0.5342465753424658
只按 S 排序,0.74,0.5315315315315315
只按 S 排序,0.75,0.5288888888888889
只按 S 排序,0.76,0.5263157894736842
只按 S 排序,0.77,0.5238095238095238
只按 S 排序,0.78,0.5213675213675214
只按 S 排序,0.79,0.5189873417721519
只按 S 排序,0.8,0.5125
只按 S 排序,0.8099999999999999,0.51440329218107
只按 S 排序,0.82,0.5121951219512195
只按 S 排序,0.83,0.5060240963855421
只按 S 排序,0.84,0.503968253968254
只按 S 排序,0.85,0.4980392156862745
只按 S 排序,0.86,0.49612403100775193
只按 S 排序,0.87,0.4942528735632184
只按 S 排序,0.88,0.48863636363636365
只按 S 排序,0.89,0.4868913857677903
只按 S 排序,0.9,0.4888888888888889
只按 S 排序,0.91,0.4835164835164835
只按 S 排序,0.92,0.48188405797101447
只按 S 排序,0.93,0.4767025089605735
只按 S 排序,0.94,0.4716312056737589
只按 S 排序,0.95,0.4666666666666667
只按 S 排序,0.96,0.4618055555555556
只按 S 排序,0.97,0.4570446735395189
只按 S 排序,0.98,0.4523809523809524
只按 S 排序,0.99,0.4478114478114478
只按 S 排序,1.0,0.44333333333333336
