round,question_id,decision_step,trajectory_length,tau,committed_r,native_s,action,correct,conflicted,gold_hop_count,committed_coverage_r,current_preview_hop_indices,current_preview_gold_count,current_preview_coverage,current_read_result_hop_indices,current_tool_hop_indices,visible_or_committed_hop_indices,visible_or_committed_coverage,cumulative_preview_hop_indices,ever_seen_or_committed_hop_indices,ever_seen_or_committed_coverage,run_question,native_positive,terminal,prev_native_s,delta_native_s,prev_committed_r,delta_committed_r,prev_current_preview_coverage,delta_current_preview_coverage,prev_ever_seen_or_committed_coverage,delta_ever_seen_or_committed_coverage,full_committed,current_preview_any,prev_native_positive,reversal
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,1,8,0.125,0.0,-4.75000009033829,"[""search""]",False,False,3,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,False,False,,,,,,,,,False,False,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,2,8,0.25,0.0,1.6250000596046448,"[""read""]",False,False,3,0.0,[1],1,0.3333333333333333,[],[1],[1],0.3333333333333333,[1],[1],0.3333333333333333,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,True,False,-4.75000009033829,6.3750001499429345,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,False,True,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,8,0.375,0.3333333333333333,4.250000008381903,"[""search""]",False,False,3,0.3333333333333333,[],0,0.0,[1],[1],[1],0.3333333333333333,[1],[1],0.3333333333333333,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,True,False,1.6250000596046448,2.6249999487772584,0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.0,False,False,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,4,8,0.5,0.3333333333333333,2.312499973922968,"[""search""]",False,False,3,0.3333333333333333,[],0,0.0,[],[],[1],0.3333333333333333,[1],[1],0.3333333333333333,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,True,False,4.250000008381903,-1.9375000344589353,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,False,False,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,5,8,0.625,0.3333333333333333,1.0625000447034836,"[""read""]",False,False,3,0.3333333333333333,[],0,0.0,[],[],[1],0.3333333333333333,[1],[1],0.3333333333333333,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,True,False,2.312499973922968,-1.2499999292194843,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,False,False,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,6,8,0.75,0.3333333333333333,6.187500165018719,"[""search""]",False,False,3,0.3333333333333333,[],0,0.0,[],[],[1],0.3333333333333333,[1],[1],0.3333333333333333,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,True,False,1.0625000447034836,5.125000120315235,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,False,False,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,7,8,0.875,0.3333333333333333,5.125000019092113,"[""read""]",False,False,3,0.3333333333333333,[],0,0.0,[],[],[1],0.3333333333333333,[1],[1],0.3333333333333333,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,True,False,6.187500165018719,-1.062500145926606,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,False,False,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,8,8,1.0,0.3333333333333333,6.749999854248017,"[""finish""]",False,False,3,0.3333333333333333,[],0,0.0,[1],[1],[1],0.3333333333333333,[1],[1],0.3333333333333333,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,True,True,5.125000019092113,1.6249998351559043,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,False,False,True,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,1,6,0.1666666666666666,0.0,-3.750000052154064,"[""search""]",True,False,2,0.0,[],0,0.0,[],[],[],0.0,[],[],0.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,False,False,,,,,,,,,False,False,False,False
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,6,0.3333333333333333,0.0,2.1874999701976776,"[""read""]",True,False,2,0.0,[1],1,0.5,[],[1],[1],0.5,[1],[1],0.5,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,True,False,-3.750000052154064,5.937500022351742,0.0,0.0,0.0,0.5,0.0,0.5,False,True,False,False
