run_question,round,question_id,correct,trajectory_length,ever_positive,first_positive_step,first_positive_tau,first_positive_committed_r,first_positive_visible_r,first_positive_has_current_gold_preview,first_positive_before_committed_full,committed_class_at_first_positive,visible_class_at_first_positive,sign_reversals,crossing_class
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,False,8,True,2.0,0.25,0.0,0.3333333333333333,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,True,6,True,2.0,0.3333333333333333,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,False,6,True,4.0,0.6666666666666666,0.0,0.75,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,False,14,True,3.0,0.2142857142857142,0.3333333333333333,0.3333333333333333,False,True,Partial,Partial,1,Reversal
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,True,5,True,2.0,0.4,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,True,4,True,2.0,0.5,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,True,3,True,2.0,0.6666666666666666,0.0,1.0,True,True,None,Complete,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,True,4,True,2.0,0.5,0.0,0.5,True,True,None,Partial,0,Single transition
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,False,8,True,3.0,0.375,0.25,0.5,True,True,Partial,Partial,1,Reversal
Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,False,11,False,,,,,False,False,Never positive,Never positive,0,Never positive
