metric,progress,mean,low,high,questions,trajectories
p,0.05,0.01188078810908456,0.0029810328381539484,0.02033235445571678,4,6
p,0.1,0.029108216120987313,0.011660958439855712,0.05754568807332206,37,64
p,0.15,0.11210866191602858,0.06414089498450339,0.16727231815216448,58,123
p,0.2,0.1293207261286252,0.09240990752028115,0.1702605272403814,93,222
p,0.25,0.19588077645697716,0.1455285453694963,0.24916979793442334,95,264
p,0.3,0.2611324668254887,0.2054096126224216,0.31973744856792097,95,264
p,0.35,0.3026613270555874,0.2501455179043905,0.35913130486835265,100,300
p,0.39999999999999997,0.4671941644815953,0.41711171033220235,0.5177219401883381,100,300
p,0.44999999999999996,0.47123107864208874,0.4211800437217298,0.5221040840863125,100,300
p,0.49999999999999994,0.5876782897295256,0.5334372852042,0.6412487044278653,100,300
p,0.5499999999999999,0.585670320384124,0.5300077115072444,0.6405077601970441,100,300
p,0.6,0.5940064972324005,0.535665021278265,0.6505914088265512,100,300
p,0.65,0.605284825855935,0.5476121388372712,0.6624460229256065,100,300
p,0.7,0.7210972007267236,0.6710921831272099,0.7701756560404831,100,300
p,0.75,0.7314863824266294,0.6810688394822231,0.7788000510605162,100,300
p,0.7999999999999999,0.74785177640879,0.6967630992767454,0.7969159208362668,100,300
p,0.85,0.7740833192401162,0.7237870827159003,0.82110655913216,100,300
p,0.9,0.7884217057571622,0.7357034250317842,0.836889806198017,100,300
p,0.95,0.7908272385786931,0.738522532761105,0.8398164718011183,100,300
p,1.0,0.8684125720240305,0.8147687561532349,0.9169491202589299,100,300
native_s,0.05,-4.624999958837482,-5.812499963562004,-3.8749999441206455,4,6
native_s,0.1,-4.428772527799493,-4.678067906743947,-4.158311001915123,37,64
native_s,0.15,-3.674209779490056,-4.093389157206578,-3.2146545313953228,58,123
native_s,0.2,-3.416442653639578,-3.7339664081870088,-3.069576683857304,93,222
native_s,0.25,-2.877412283604747,-3.3034170719317757,-2.4350911461369193,95,264
native_s,0.3,-2.3767543854728155,-2.8531727904988737,-1.8752165762582886,95,264
native_s,0.35,-1.939375003097787,-2.387505214666341,-1.4690833329480064,100,300
native_s,0.39999999999999997,-0.630416669739716,-1.0621354192320085,-0.2093645872965215,100,300
native_s,0.44999999999999996,-0.5672916742749902,-0.9956406360156005,-0.14894271509402732,100,300
native_s,0.49999999999999994,0.37354166536417316,-0.026265628742306188,0.774187498105738,100,300
native_s,0.5499999999999999,0.3577083316792655,-0.049588547755226815,0.7625468733181181,100,300
native_s,0.6,0.5712499948633679,0.12202082734167076,1.0016874927573693,100,300
native_s,0.65,0.6237499970356777,0.1731145786981979,1.0602291625119187,100,300
native_s,0.7,1.4743750000591782,1.0697812524850914,1.866901042219981,100,300
native_s,0.75,1.5979166636522861,1.196020827806044,1.9841874948771374,100,300
native_s,0.7999999999999999,1.682499998857674,1.284718748846089,2.069380210399203,100,300
native_s,0.85,1.885624998957016,1.4849947873260434,2.269187498538825,100,300
native_s,0.9,2.000625000541041,1.5739322918555165,2.3927187484622503,100,300
native_s,0.95,1.9991666666910566,1.551453131458298,2.4133437478626414,100,300
native_s,1.0,5.065833312052192,4.40644788761208,5.691890593752318,100,300
r,0.05,0.0,0.0,0.0,4,6
r,0.1,0.0,0.0,0.0,37,64
r,0.15,0.00646551724137931,0.0,0.01695156009244989,58,123
r,0.2,0.011648745519713264,0.0037223176785032455,0.022807829759584137,93,222
r,0.25,0.03771929824561404,0.020543981481481483,0.05732860520094562,95,264
r,0.3,0.06959064327485379,0.042926662457912455,0.09976244633502696,95,264
r,0.35,0.07527777777777776,0.049722222222222216,0.10389583333333324,100,300
r,0.39999999999999997,0.10666666666666667,0.07583333333333334,0.13916666666666666,100,300
r,0.44999999999999996,0.13166666666666665,0.09694444444444443,0.16777777777777778,100,300
r,0.49999999999999994,0.16944444444444443,0.12888194444444442,0.21084027777777767,100,300
r,0.5499999999999999,0.1711111111111111,0.13054861111111107,0.21305555555555553,100,300
r,0.6,0.2811111111111111,0.24249305555555545,0.31972222222222224,100,300
r,0.65,0.28805555555555556,0.24916666666666665,0.32722222222222214,100,300
r,0.7,0.326111111111111,0.28555555555555556,0.3672291666666666,100,300
r,0.75,0.35944444444444446,0.31554861111111104,0.40277777777777757,100,300
r,0.7999999999999999,0.37499999999999994,0.3302777777777777,0.419173611111111,100,300
r,0.85,0.3858333333333332,0.3391666666666665,0.4319444444444444,100,300
r,0.9,0.3919444444444444,0.3447222222222222,0.43834027777777784,100,300
r,0.95,0.39805555555555544,0.3508263888888888,0.4458333333333333,100,300
r,1.0,0.7624999999999998,0.7133333333333332,0.8116666666666664,100,300
