round,question_id,decision_step,trajectory_length,tau,committed_r,native_s,action,correct,conflicted,gold_hop_count,committed_coverage_r,current_preview_hop_indices,current_preview_gold_count,current_preview_coverage,current_read_result_hop_indices,current_tool_hop_indices,visible_or_committed_hop_indices,visible_or_committed_coverage,cumulative_preview_hop_indices,ever_seen_or_committed_hop_indices,ever_seen_or_committed_coverage,run_question,native_positive,terminal,prev_native_s,delta_native_s,prev_committed_r,delta_committed_r,prev_current_preview_coverage,delta_current_preview_coverage,prev_ever_seen_or_committed_coverage,delta_ever_seen_or_committed_coverage,full_committed,current_preview_any,prev_native_positive,reversal,p,tau2,full,round2,round3
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,8,8,1.0,0.3333333333333333,6.749999854248017,"[""finish""]",False,False,3,0.3333333333333333,[],0,0.0,[1],[1],[1],0.3333333333333333,[1],[1],0.3333333333333333,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,True,True,5.125000019092113,1.6249998351559043,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,False,False,True,False,0.9988304895646855,1.0,0.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,6,6,1.0,1.0,5.125000232364982,"[""finish""]",True,False,2,1.0,[],0,0.0,[],[2],"[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,True,True,7.62500018402352,-2.4999999516585376,1.0,0.0,0.0,0.0,1.0,0.0,True,False,True,False,0.9940889325091624,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,6,6,1.0,1.0,6.625000047613867,"[""finish""]",False,True,4,1.0,[],0,0.0,"[1,2,3,4]","[1,2,3,4]","[1,2,3,4]",1.0,"[1,2,3,4]","[1,2,3,4]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,True,True,0.4375,6.187500047613867,0.0,1.0,0.25,-0.25,1.0,0.0,True,False,True,False,0.9986749776457927,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,14,14,1.0,1.0,-3.25,"[""finish""]",False,True,3,1.0,[],0,0.0,[],[],"[1,2,3]",1.0,"[1,2,3]","[1,2,3]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,False,True,-3.0625000093132257,-0.1874999906867742,1.0,0.0,0.0,0.0,1.0,0.0,True,False,False,False,0.03732688734412946,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,5,5,1.0,1.0,6.8749999985448085,"[""finish""]",True,False,2,1.0,[],0,0.0,[2],[2],"[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,True,True,4.000000109896064,2.8749998886487447,0.5,0.5,0.5,-0.5,1.0,0.0,True,False,True,False,0.9989677689617447,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,4,4,1.0,1.0,6.93749994126847,"[""finish""]",True,False,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,True,True,1.5000000447034836,5.437499896564987,0.0,1.0,1.0,-1.0,1.0,0.0,True,False,True,False,0.9990302479753177,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,3,3,1.0,1.0,8.62499989765638,"[""finish""]",True,False,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,"[1,2]","[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,True,True,3.250000085681677,5.374999811974703,0.0,1.0,1.0,-1.0,1.0,0.0,True,False,True,False,0.9998204720122831,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,4,4,1.0,1.0,7.875000072934199,"[""finish""]",True,False,2,1.0,[],0,0.0,"[1,2]","[1,2]","[1,2]",1.0,[1],"[1,2]",1.0,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,True,True,3.18750006146729,4.687500011466909,0.0,1.0,0.5,-0.5,0.5,0.5,True,False,True,False,0.9996200155129514,1.0,1.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,8,8,1.0,0.75,6.124999770661816,"[""finish""]",False,True,4,0.75,[],0,0.0,[],[],"[1,2,3]",0.75,"[1,2,3]","[1,2,3]",0.75,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,True,True,1.8124999701976776,4.312499800464138,0.75,0.0,0.0,0.0,0.75,0.0,False,False,True,False,0.9978172830551673,1.0,0.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,11,11,1.0,0.3333333333333333,-6.250000105355866,"[""finish""]",False,True,3,0.3333333333333333,[],0,0.0,[],[],[1],0.3333333333333333,[1],[1],0.3333333333333333,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,False,True,-11.375000059796548,5.124999954440682,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,False,False,False,False,0.0019267344607257996,1.0,0.0,0.0,0.0
Run 1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,5,5,1.0,0.25,2.7500001154839993,"[""finish""]",False,True,4,0.25,[4],1,0.25,[],[4],"[1,4]",0.5,"[1,4]","[1,4]",0.5,Run 1::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,True,True,3.2499999403953552,-0.499999824911356,0.25,0.0,0.25,0.0,0.5,0.0,False,True,True,False,0.9399133563480947,1.0,0.0,0.0,0.0
