schema_version,gold_definition,question_id,qa_pair_id,question_ordinal,decision_step,decision_state_count,normalized_progress,capture_id,action_tool_names,terminal_trajectory_status,gold_hop_count,covered_hop_count,gold_coverage_r,covered_hop_indices,missing_hop_indices,newly_available_hop_indices,cumulative_read_memory_count,cumulative_read_memory_ids,official_gold_lww_conflicted,final_official_score,final_correct
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,1,6,0.16666666666666666,1789220509489085824-25d4717f595b4e3085cc740711b08108,"[""search""]",sufficient,3,0,0.0,[],"[1,2,3]",[],0,[],False,1.0,True
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,2,6,0.3333333333333333,1789220517303787801-eee70b94a4ef4639bad11f19178e5b32,"[""read""]",sufficient,3,0,0.0,[],"[1,2,3]",[],0,[],False,1.0,True
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,3,6,0.5,1789220547001126380-2c1463d995e843188dde6813e1c45f54,"[""search""]",sufficient,3,2,0.6666666666666666,"[1,2]",[3],"[1,2]",3,"[""m-95bbccbd6a08d16d05369687"",""m-d378741b166342a8e5a0aca8"",""m-b7dcd8cd2d91e2a0530e94f1""]",False,1.0,True
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,4,6,0.6666666666666666,1789220566001823272-7bef4fd4657d4eb0b4187aa5d786a4c2,"[""read""]",sufficient,3,2,0.6666666666666666,"[1,2]",[3],[],3,"[""m-95bbccbd6a08d16d05369687"",""m-d378741b166342a8e5a0aca8"",""m-b7dcd8cd2d91e2a0530e94f1""]",False,1.0,True
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,5,6,0.8333333333333334,1789220573328335073-94feac16425348879f108e2550346390,"[""read""]",sufficient,3,3,1.0,"[1,2,3]",[],[3],4,"[""m-95bbccbd6a08d16d05369687"",""m-d378741b166342a8e5a0aca8"",""m-b7dcd8cd2d91e2a0530e94f1"",""m-a1a4edfb7fb9ec1bee215e03""]",False,1.0,True
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,6,6,1.0,1789220597022257389-8e85e266b30a49a988c3d6bb595368d2,"[""finish""]",sufficient,3,3,1.0,"[1,2,3]",[],[],5,"[""m-95bbccbd6a08d16d05369687"",""m-d378741b166342a8e5a0aca8"",""m-b7dcd8cd2d91e2a0530e94f1"",""m-a1a4edfb7fb9ec1bee215e03"",""m-4629414582d97d69514c4643""]",False,1.0,True
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,factconsolidation_mh_262k_no1,1,1,4,0.25,1789220509493437084-d3d6cbd30c204ab79e9161f2fedaca49,"[""search""]",sufficient,2,0,0.0,[],"[1,2]",[],0,[],False,1.0,True
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,factconsolidation_mh_262k_no1,1,2,4,0.5,1789220517298442890-5326093a11c042a9822dd79a355bcd47,"[""search""]",sufficient,2,0,0.0,[],"[1,2]",[],0,[],False,1.0,True
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,factconsolidation_mh_262k_no1,1,3,4,0.75,1789220531856522520-40ea0f146c7c40f6813aaeaa3d0a6567,"[""read""]",sufficient,2,0,0.0,[],"[1,2]",[],0,[],False,1.0,True
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,factconsolidation_mh_262k_no1,1,4,4,1.0,1789220558158168878-b7c690e5a2e648f7b39e8bf0c52f22cb,"[""finish""]",sufficient,2,2,1.0,"[1,2]",[],"[1,2]",4,"[""m-1d5745d8b432a6047b4dd936"",""m-154bcacb92d86a5c9d325b00"",""m-3576b8a194151a5c0e81bdc5"",""m-0b1100aa2215e071bf08a812""]",False,1.0,True
