sample,comparison,metric,estimate,low,high,questions,bootstrap_success
all,all_additions,likelihood,0.4097544128866771,0.3913464427641916,0.42790584024939887,100,
all,all_additions,margin,5.296608070467084,4.961151693457016,5.646624997384941,100,
all,all_additions,official_score,0.4083333333333334,0.38747656250000007,0.42887604166666665,100,
all,all_additions,token_change,-0.17916666666666664,-0.47585416666666663,0.13002083333333325,100,
all,last_missing_hop,likelihood,0.22865330589867344,0.19395708163377592,0.264638415709678,100,
all,last_missing_hop,margin,6.544609370647893,6.241128907427443,6.8498515621510725,100,
all,last_missing_hop,official_score,0.4395000000000001,0.39408125000000005,0.48383333333333334,100,
all,last_missing_hop,token_change,-0.17916666666666664,-0.47585416666666663,0.13002083333333325,100,
all,question_FE_length_adjusted,r,0.9869946264361924,0.95775100589317,1.010841983947116,100,2000.0
all,question_FE_length_adjusted,input_tokens,0.005392133925365154,-0.0016590085530676511,0.013115413786815263,100,2000.0
