sample,model,metric,estimate,low,high
all,Coverage,log_loss,0.16883773355204212,0.1377545135958922,0.20334773898760783
all,Coverage,brier,0.04960625787889041,0.03902011363018118,0.0611908847977718
all,Coverage + likelihood,log_loss,0.17095926363677255,0.1365250894608104,0.20768051866234205
all,Coverage + likelihood,brier,0.05028204978619469,0.03819426242428737,0.06300504708658407
all,Coverage + margin,log_loss,0.1693916976773124,0.13529225093038522,0.20625994824723454
all,Coverage + margin,brier,0.05021186730008398,0.037976995744557,0.06320422524638376
all,Likelihood,log_loss,0.35619574064649534,0.29857334286385556,0.4280845791888926
all,Likelihood,brier,0.10587600083900098,0.08766282395164655,0.12578715469579832
all,Coverage + likelihood minus Coverage,paired_log_loss_difference,0.0021215300847303763,-0.005864114745729214,0.012838841307268046
all,Coverage + margin minus Coverage,paired_log_loss_difference,0.0005539641252702213,-0.009269157555024304,0.013568951887532833
