sample,comparison,question_id,delta
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.29783608670141165
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,0.8423341667237555
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,0.6708889012597433
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,0.4667794008934194
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,0.99192731805321
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,0.42608309584357884
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,0.7937686748520347
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,0.9885925034577469
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,0.47729645807572285
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,0.029767572536525566
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,0.29770873281413773
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,0.25042147538641424
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,0.6815300014561033
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,0.4110325732667413
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,0.9694944828594073
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,0.9775823559914004
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,0.7096026383121398
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,0.9888214372035415
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,0.15243257594277587
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,0.9468172960442617
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,0.41315421108290934
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,0.5917644571639546
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,0.8786539748448271
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,0.4246342974761544
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,0.9600317870288541
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,0.6350281475534092
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no32,0.2685299794538953
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,0.35203809490871424
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no34,0.06045451631011512
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,0.44950837913377856
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,0.17720063447091075
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no37,0.6906814293924387
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no38,0.9285725467903356
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no39,0.7345630990994985
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no4,0.3417521363239591
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no40,0.6684756605940826
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no41,0.5911308852734234
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no42,0.4001556050473891
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no43,0.7061114369517805
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no44,0.6659368902464398
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no45,0.8895635044936956
all,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no46,0.5642624627677658
