sample,comparison,question_id,delta
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,0.6708889012597433
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,0.4667794008934194
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,0.47729645807572285
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,0.029767572536525566
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,0.29770873281413773
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,0.25042147538641424
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,0.6815300014561033
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,0.4110325732667413
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,0.15243257594277587
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,0.41315421108290934
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,0.35203809490871424
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,0.44950837913377856
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,0.17720063447091075
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no4,0.3417521363239591
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no42,0.4001556050473891
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no47,0.13993860222150914
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no53,0.3463401879615395
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no56,0.971359783241457
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no57,0.6376467649972183
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no63,0.35206872323029836
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no71,0.9874715842508809
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no72,0.13516920214078168
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no75,0.7560834296838331
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no76,0.7394234770132485
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no77,0.5038145110664565
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no79,0.9734903266833029
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no8,0.7753621281293809
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no82,0.6742429510814173
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no84,0.13990324623532227
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no85,0.6057275821456465
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no88,0.6730506996932206
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no9,0.656057877478092
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no91,0.3472777463206218
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no96,0.7852837465904013
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no98,0.4307371450123984
conflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no99,0.7258912874312348
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,-0.11773041424896431
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,-0.13063543545316728
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,-0.14159061944590598
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,0.0046478244267736816
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,-0.12442292415424437
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,-0.15230282962577887
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,-0.20942805069157713
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,-0.23220416301688393
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,-0.21295185390553928
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,-0.20820811776902862
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,-0.14530418663734126
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,-0.33338384162543755
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,-0.1783256782739654
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no4,-0.09566709751409058
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no42,-0.32024611179374074
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no47,-0.16602696730399089
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no53,-0.24662013788254752
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no56,-0.43318295357911585
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no57,-0.11403765554528932
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no63,-0.14413864997303744
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no71,-0.41275757111868994
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no72,-0.20182734467336796
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no75,-0.1608193637694202
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no76,-0.4969982495561975
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no77,-0.2331707426161552
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no79,-0.5079130402565349
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no8,-0.0774129506164492
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no82,-0.3696949447915617
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no84,-0.14690747051108272
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no85,-0.43124020143967184
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no88,-0.28374443627167373
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no9,-0.26774574339187335
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no91,-0.15597931930329723
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no96,-0.274173254350588
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no98,-0.10481384067482702
conflicted,Removed vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no99,-0.14011771934911318
conflicted,Unrelated vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,-0.2543411646334434
conflicted,Unrelated vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,-0.17711182363138764
conflicted,Unrelated vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,-0.19522818408410858
conflicted,Unrelated vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,-0.004324569210369989
conflicted,Unrelated vs. original,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,-0.1859827778025029
