question_id,gold_hops,order,starting_mask,added_hop,control_coverage,intervention_coverage,control_likelihood,intervention_likelihood,paired_change,token_change
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,0,1,0.0,0.3333333333333333,0.0031726825589888,0.7310585669110203,0.7278858843520315,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,0,2,0.0,0.3333333333333333,0.0031726825589888,0.0021827161177624,-0.0009899664412264001,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,0,3,0.0,0.3333333333333333,0.0031726825589888,0.0203323549380419,0.017159672379053102,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,1,2,0.3333333333333333,0.6666666666666666,0.7310585669110203,0.9241418215456966,0.19308325463467624,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,1,3,0.3333333333333333,0.6666666666666666,0.7310585669110203,0.8354835452961425,0.10442497838512221,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,2,1,0.3333333333333333,0.6666666666666666,0.0021827161177624,0.9241418215456966,0.9219591054279341,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,2,3,0.3333333333333333,0.6666666666666666,0.0021827161177624,0.6224593312018546,0.6202766150840922,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,3,3,0.6666666666666666,1.0,0.9241418215456966,0.9998601778591484,0.0757183563134518,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,4,1,0.3333333333333333,0.6666666666666666,0.0203323549380419,0.8354835452961425,0.8151511903581007,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,4,2,0.3333333333333333,0.6666666666666666,0.0203323549380419,0.6224593312018546,0.6021269762638127,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,5,2,0.6666666666666666,1.0,0.8354835452961425,0.9998601778591484,0.16437663256300583,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,6,1,0.6666666666666666,1.0,0.6224593312018546,0.9998601778591484,0.3774008466572938,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,0,1,0.0,0.3333333333333333,0.0040701370174873,0.679178699175393,0.6751085621579057,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,0,2,0.0,0.3333333333333333,0.0040701370174873,0.0062899019986417,0.0022197649811544,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,0,3,0.0,0.3333333333333333,0.0040701370174873,0.0097084749234882,0.0056383379060009,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,1,2,0.3333333333333333,0.6666666666666666,0.679178699175393,0.9883127417084772,0.3091340425330842,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,1,3,0.3333333333333333,0.6666666666666666,0.679178699175393,0.7431680086124811,0.06398930943708814,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,2,1,0.3333333333333333,0.6666666666666666,0.0062899019986417,0.9883127417084772,0.9820228397098355,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,2,3,0.3333333333333333,0.6666666666666666,0.0062899019986417,0.1329642367620759,0.12667433476343418,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,3,3,0.6666666666666666,1.0,0.9883127417084772,0.99941159111069,0.01109884940221284,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,4,1,0.3333333333333333,0.6666666666666666,0.0097084749234882,0.7431680086124811,0.7334595336889929,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,4,2,0.3333333333333333,0.6666666666666666,0.0097084749234882,0.1329642367620759,0.12325576183858769,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,5,2,0.6666666666666666,1.0,0.7431680086124811,0.99941159111069,0.2562435824982089,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,6,1,0.6666666666666666,1.0,0.1329642367620759,0.99941159111069,0.8664473543486141,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,0,0,1,0.0,0.5,0.004609572217833,0.939913350141578,0.935303777923745,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,0,0,2,0.0,0.5,0.004609572217833,0.0900929942673371,0.08548342204950411,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,0,1,2,0.5,1.0,0.939913350141578,0.999876605410322,0.05996325526874402,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,0,2,1,0.5,1.0,0.0900929942673371,0.999876605410322,0.9097836111429849,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,1,0,1,0.0,0.5,0.0017007223540169,0.9808759639653826,0.9791752416113657,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,1,0,2,0.0,0.5,0.0017007223540169,0.0085774853107534,0.0068767629567365,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,1,1,2,0.5,1.0,0.9808759639653826,0.999620015516699,0.01874405155131642,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,1,2,1,0.5,1.0,0.0085774853107534,0.999620015516699,0.9910425302059456,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,2,0,0,1,0.0,0.5,0.0023231624640796,0.9196425289753968,0.9173193665113172,3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,2,0,0,2,0.0,0.5,0.0023231624640796,0.1645164649447396,0.16219330248066,3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,2,0,1,2,0.5,1.0,0.9196425289753968,0.9984021543940884,0.07875962541869164,3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,2,0,2,1,0.5,1.0,0.1645164649447396,0.9984021543940884,0.8338856894493488,3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,2,1,0,1,0.0,0.5,0.0015011823427646,0.9399133503519684,0.9384121680092038,3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,2,1,0,2,0.0,0.5,0.0015011823427646,0.080357468271608,0.0788562859288434,3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,2,1,1,2,0.5,1.0,0.9399133503519684,0.9996849613597732,0.059771611007804815,3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,2,1,2,1,0.5,1.0,0.080357468271608,0.9996849613597732,0.9193274930881652,3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,2,0,0,1,0.0,0.5,0.0103281501917885,0.9669140221475918,0.9565858719558034,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,2,0,0,2,0.0,0.5,0.0103281501917885,0.2018132162595082,0.1914850660677197,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,2,0,1,2,0.5,1.0,0.9669140221475918,0.999945240227028,0.03303121807943621,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,2,0,2,1,0.5,1.0,0.2018132162595082,0.999945240227028,0.7981320239675198,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,2,1,0,1,0.0,0.5,0.0216153339640861,0.9362850057480346,0.9146696717839485,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,2,1,0,2,0.0,0.5,0.0216153339640861,0.3073580232098524,0.2857426892457663,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,2,1,1,2,0.5,1.0,0.9362850057480346,0.9997040428473588,0.06341903709932417,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,2,1,2,1,0.5,1.0,0.3073580232098524,0.9997040428473588,0.6923460196375064,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,2,0,0,1,0.0,0.5,0.0018102110370359,0.9919380086467514,0.9901277976097155,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,2,0,0,2,0.0,0.5,0.0018102110370359,0.0446808678874685,0.0428706568504326,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,2,0,1,2,0.5,1.0,0.9919380086467514,0.9999339478513558,0.007995939204604396,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,2,0,2,1,0.5,1.0,0.0446808678874685,0.9999339478513558,0.9552530799638873,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,2,1,0,1,0.0,0.5,0.0009110512447069,0.9914225153861964,0.9905114641414895,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,2,1,0,2,0.0,0.5,0.0009110512447069,0.0075772418316332,0.0066661905869263,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,2,1,1,2,0.5,1.0,0.9914225153861964,0.9990889487111329,0.007666433324936439,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,2,1,2,1,0.5,1.0,0.0075772418316332,0.9990889487111329,0.9915117068794996,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,2,0,0,1,0.0,0.5,0.0758581823716538,0.9648551508832532,0.8889969685115995,3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,2,0,0,2,0.0,0.5,0.0758581823716538,0.6513548612821242,0.5754966789104704,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,2,0,1,2,0.5,1.0,0.9648551508832532,0.9999599363030311,0.035104785419777906,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,2,0,2,1,0.5,1.0,0.6513548612821242,0.9999599363030311,0.348605075020907,3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,2,1,0,1,0.0,0.5,0.0330859752603115,0.9724147185476554,0.9393287432873438,3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,2,1,0,2,0.0,0.5,0.0330859752603115,0.6224593312018546,0.589373355941543,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,2,1,1,2,0.5,1.0,0.9724147185476554,0.9998766054177444,0.027461886870088992,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,2,1,2,1,0.5,1.0,0.6224593312018546,0.9998766054177444,0.3774172742158898,3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,2,0,0,1,0.0,0.5,0.0024726229722912,0.9933071506483522,0.990834527676061,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,2,0,0,2,0.0,0.5,0.0024726229722912,0.3208213040714954,0.31834868109920417,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,2,0,1,2,0.5,1.0,0.9933071506483522,0.9998766054691252,0.00656945482077298,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,2,0,2,1,0.5,1.0,0.3208213040714954,0.9998766054691252,0.6790553013976297,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,2,1,0,1,0.0,0.5,0.0179862098962928,0.9902915237289436,0.9723053138326507,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,2,1,0,2,0.0,0.5,0.0179862098962928,0.182425521583901,0.1644393116876082,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,2,1,1,2,0.5,1.0,0.9902915237289436,0.9991959141380278,0.008904390409084195,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,2,1,2,1,0.5,1.0,0.182425521583901,0.9991959141380278,0.8167703925541268,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,0,0,1,0.0,0.3333333333333333,0.0055549240593188,0.9928785710155544,0.9873236469562356,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,0,0,2,0.0,0.3333333333333333,0.0055549240593188,0.0953494648991094,0.0897945408397906,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,0,0,3,0.0,0.3333333333333333,0.0055549240593188,0.2942149690687251,0.2886600450094063,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,0,1,2,0.3333333333333333,0.6666666666666666,0.9928785710155544,0.989013056706549,-0.003865514309005391,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,0,1,3,0.3333333333333333,0.6666666666666666,0.9928785710155544,0.9399133482480644,-0.05296522276749005,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,0,2,1,0.3333333333333333,0.6666666666666666,0.0953494648991094,0.989013056706549,0.8936635918074396,0.0
