question_id,gold_hops,control_likelihood,intervention_likelihood,paired_change,token_change
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0.2985733154993688,0.6641510579678049,0.3655777424684361,-0.3333333333333333
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,0.2540100478535938,0.7523066294423866,0.49829658158879275,0.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,2,0.26400981276967517,0.7625755055064295,0.49856569273675433,3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,2,0.30953215445959203,0.8014586041892201,0.49192644972962807,-0.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,2,0.25513264478944186,0.7542080533596284,0.49907540857018645,1.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,2,0.42862154714735223,0.9013446431695548,0.4727230960222025,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,2,0.31597039572123253,0.8106238174058747,0.4946534216846422,-0.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,0.43819575876093914,0.7972979848158142,0.3591022260548751,-0.3333333333333333
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,2,0.2105524096896443,0.70971662205223,0.4991642123625856,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,2,0.27234325941180865,0.7680126779228929,0.49566941851108415,-2.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,2,0.21280111106558242,0.7106339346863327,0.4978328236207503,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,2,0.24666613869192344,0.7426687455180678,0.4960026068261444,-2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,2,0.21966380669332888,0.7163097532699614,0.4966459465766324,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,2,0.3826900598107445,0.8782328757991613,0.4955428159884169,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,2,0.3516974023529219,0.8473064189279536,0.4956090165750316,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,2,0.5755434667912808,0.8454574102006522,0.26991394340937147,0.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no32,4,0.4455741775647584,0.7417205377549789,0.29614636019022045,-0.75
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no34,3,0.23695361459437325,0.6035717943027742,0.3666181797084009,-0.6666666666666666
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no37,2,0.4568846218315516,0.9557920586798266,0.498907436848275,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no38,2,0.31760161127511316,0.814708203726368,0.49710659245125477,1.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no39,2,0.24036317391988155,0.7361706265989276,0.49580745267904613,3.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no40,2,0.4728583315740369,0.9723914367325739,0.49953310515853694,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no41,2,0.1626536599612439,0.6571373074921422,0.49448364753089824,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no43,2,0.18934102749003157,0.6874764067353837,0.4981353792453521,2.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no44,2,0.5394959343969166,0.930837371202099,0.3913414368051824,1.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no45,2,0.3657818497633384,0.8646553538849167,0.49887350412157827,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no46,2,0.31462923402959536,0.8132991943951496,0.49866996036555433,1.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no48,4,0.5764877991482124,0.8413157751985081,0.2648279760502958,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no49,2,0.3948366886429241,0.8921997929329546,0.4973631042900304,3.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no5,4,0.43756206456416885,0.7455362587177209,0.307974194153552,-1.25
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no50,2,0.2997471606732645,0.7959719495490317,0.4962247888757672,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no51,2,0.25262593393845595,0.751442719277571,0.4988167853391151,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no52,4,0.5535838641481207,0.8331204406402594,0.27953657649213876,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no54,3,0.40444708353359343,0.7881489700215322,0.38370188648793885,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no55,4,0.5211594808002361,0.7955232419078672,0.2743637611076311,-0.75
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no58,2,0.3592573858994235,0.8561564582917428,0.49689907239231923,-0.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no59,2,0.335950343999565,0.8316523139542974,0.49570196995473226,3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no6,2,0.4759618651224338,0.9699141389485031,0.49395227382606927,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no60,2,0.44521732131014113,0.9373939726531209,0.4921766513429798,-0.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no61,2,0.47079017688486796,0.9698886110191638,0.4990984341342958,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no62,2,0.42236855324388034,0.9184114196738126,0.4960428664299322,3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no64,2,0.4358818083229102,0.9345096740219738,0.4986278656990637,-0.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no65,2,0.31022751845706575,0.7223280784473662,0.41210055999030043,-2.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no66,2,0.2536660508547559,0.7508093005340353,0.4971432496792794,-2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no67,2,0.28451458096739185,0.7823232432592202,0.4978086622918284,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no68,2,0.26262574378685133,0.7608285555415448,0.4982028117546935,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no69,4,0.4254083283108832,0.7180027066306587,0.2925943783197755,-2.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no7,4,0.4282808362065884,0.745630016758798,0.31734918055220956,-1.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no70,3,0.3377155962415364,0.7051454192980326,0.36742982305649624,-2.6666666666666665
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no73,2,0.42440742520760877,0.9179142860713134,0.49350686086370465,-2.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no74,2,0.37084694008308583,0.8649613815687311,0.4941144414856453,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no78,2,0.3792339438626585,0.8780082912865187,0.4987743474238602,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no80,2,0.3826867336388181,0.8703502124120482,0.48766347877323013,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no81,2,0.5151147381096074,0.8820476948667781,0.3669329567571707,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no83,2,0.23676561695467854,0.7318015116154297,0.49503589466075115,1.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no86,2,0.33979779236041957,0.8382176425224334,0.4984198501620138,2.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no87,3,0.3817184933285707,0.7803892067419248,0.3986707134133541,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no89,2,0.2588307327509389,0.7538921108906234,0.4950613781396845,-3.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no90,2,0.46556715968423035,0.9651355824592549,0.49956842277502456,-2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no92,3,0.39806716924757857,0.781876523006395,0.3838093537588163,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no93,4,0.3405904068789784,0.655621338696075,0.31503093181709657,-0.75
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no94,2,0.37273763694252027,0.8695206323750374,0.49678299543251714,-2.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no95,2,0.3404445855172101,0.8321623517474841,0.4917177662302741,0.5
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no97,2,0.3624185249690603,0.8614958366298486,0.4990773116607884,-0.5
