sample,model,metric,estimate,low,high
unconflicted,Coverage,log_loss,0.13495267775302663,0.09925380853882478,0.17847246667190575
unconflicted,Coverage,brier,0.03318959273606494,0.022482127793342785,0.046595057646805486
unconflicted,Coverage + likelihood,log_loss,0.14143579909170806,0.0999942341903813,0.19081369214581653
unconflicted,Coverage + likelihood,brier,0.035780725729684625,0.02273382080499164,0.051102725784727326
unconflicted,Coverage + margin,log_loss,0.1362864094779735,0.0987779291050814,0.17961054132856724
unconflicted,Coverage + margin,brier,0.03469394271687768,0.022696372302659477,0.04917328009033892
unconflicted,Likelihood,log_loss,0.423170780787444,0.33700736172850176,0.5588854105349028
unconflicted,Likelihood,brier,0.1270414635842148,0.1065458292310801,0.1518255135574168
unconflicted,Coverage + likelihood minus Coverage,paired_log_loss_difference,0.006483121338681449,-0.0023318248844590803,0.021841302064146067
unconflicted,Coverage + margin minus Coverage,paired_log_loss_difference,0.0013337317249468468,-0.008185795974023935,0.015236134277802228
