sample,comparison,question_id,delta
unconflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.29783608670141165
unconflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,0.8423341667237555
unconflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,0.99192731805321
unconflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,0.42608309584357884
unconflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,0.7937686748520347
unconflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,0.9885925034577469
unconflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,0.9694944828594073
unconflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,0.9775823559914004
unconflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,0.7096026383121398
unconflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,0.9888214372035415
unconflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,0.9468172960442617
unconflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,0.5917644571639546
unconflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,0.8786539748448271
unconflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,0.4246342974761544
unconflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,0.9600317870288541
unconflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,0.6350281475534092
unconflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no32,0.2685299794538953
unconflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no34,0.06045451631011512
unconflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no37,0.6906814293924387
unconflicted,Relevant vs. unrelated,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no38,0.9285725467903356
