sample,r,likelihood,mean,low,high
unconflicted,0.0,0.0001795279979325,1.0010609268324459e-05,1.575230079524915e-39,0.0015756750652859484
unconflicted,0.0,0.012835296770338765,1.0472578156538348e-05,4.587208859776544e-39,0.001548725415056085
unconflicted,0.0,0.02549106554274503,1.0955865718749493e-05,1.3358516538219514e-38,0.001514278756869545
unconflicted,0.0,0.0381468343151513,1.1461455734783605e-05,3.8902097408290686e-38,0.0014800088034042141
unconflicted,0.0,0.05080260308755756,1.1990377380270507e-05,1.1329030285786486e-37,0.0014564912196657171
unconflicted,0.0,0.06345837185996382,1.2543707321203797e-05,3.299265518082593e-37,0.0014162353007456025
unconflicted,0.0,0.0761141406323701,1.3122571905124926e-05,9.60829844036882e-37,0.001382636543683276
unconflicted,0.0,0.08876990940477636,1.3728149453386988e-05,2.798209748065071e-36,0.001338888134736522
unconflicted,0.0,0.10142567817718262,1.436167265915955e-05,8.149265999047677e-36,0.0013154835383745581
unconflicted,0.0,0.11408144694958888,1.5024431096049875e-05,2.373345991122697e-35,0.0012784331153323006
unconflicted,0.0,0.12673721572199514,1.5717773842441087e-05,6.912065381513378e-35,0.0012557565958925293
unconflicted,0.0,0.1393929844944014,1.644311222688208e-05,2.0130693281461255e-34,0.0012334687306521344
unconflicted,0.0,0.1520487532668077,1.7201922700110724e-05,5.862915458886368e-34,0.001212542694070016
unconflicted,0.0,0.16470452203921396,1.799574983954791e-05,1.70754608626644e-33,0.0011980137572279526
unconflicted,0.0,0.17736029081162022,1.8826209492369536e-05,4.973189835187848e-33,0.001184549918827084
unconflicted,0.0,0.19001605958402648,1.9694992063544478e-05,1.4484427800819907e-32,0.001151533995570697
unconflicted,0.0,0.20267182835643274,2.0603865955520892e-05,4.218628245254144e-32,0.0011432528868961947
unconflicted,0.0,0.215327597128839,2.155468116655031e-05,1.228696672405928e-31,0.0011266732628746274
unconflicted,0.0,0.22798336590124527,2.2549373054961807e-05,3.5786689913732815e-31,0.0010958939068757485
unconflicted,0.0,0.24063913467365153,2.3589966277033872e-05,1.0423215372992381e-30,0.0010949423378491829
unconflicted,0.0,0.2532949034460578,2.4678578906464666e-05,3.035883764890966e-30,0.0010865873721745585
unconflicted,0.0,0.2659506722184641,2.581742674380831e-05,8.842432027770989e-30,0.0010867999523410416
unconflicted,0.0,0.27860644099087034,2.700882782463147e-05,2.575499088502358e-29,0.0010650421798401467
unconflicted,0.0,0.2912622097632766,2.825520713554559e-05,7.501602900510269e-29,0.0010586855718289745
unconflicted,0.0,0.3039179785356829,2.955910154769246e-05,2.18499105402045e-28,0.0010533852319037202
unconflicted,0.0,0.3165737473080892,3.092316497770056e-05,6.3642627488408935e-28,0.0010368255005600354
unconflicted,0.0,0.32922951608049544,3.2350173786591e-05,1.8537420898372113e-27,0.0010207045257623584
unconflicted,0.0,0.3418852848529017,3.3843032427592385e-05,5.3994959511238686e-27,0.0010044835592320338
unconflicted,0.0,0.35454105362530797,3.540477935432962e-05,1.572750231593954e-26,0.0009950334009979536
unconflicted,0.0,0.36719682239771423,3.703859320137682e-05,4.491020205071947e-26,0.0009737406275062528
unconflicted,0.0,0.3798525911701205,3.874779924971631e-05,1.2668952885952822e-25,0.0009572854464198222
unconflicted,0.0,0.39250835994252675,4.053587619022225e-05,3.573851779359087e-25,0.0009468937417664291
unconflicted,0.0,0.405164128714933,4.240646319888858e-05,1.008166951018702e-24,0.000929618069106604
unconflicted,0.0,0.4178198974873393,4.436336733815322e-05,2.84399272523944e-24,0.0009276404205391781
unconflicted,0.0,0.43047566625974554,4.641057129932725e-05,8.02277497130502e-24,0.0009263980462453928
unconflicted,0.0,0.4431314350321518,4.8552241501827995e-05,2.2631891197184032e-23,0.0009287690885252543
unconflicted,0.0,0.45578720380455806,5.079273656563548e-05,6.384357363394627e-23,0.0009207136781178832
unconflicted,0.0,0.4684429725769643,5.313661617414326e-05,1.8009996878363514e-22,0.0009075202792021643
unconflicted,0.0,0.4810987413493706,5.5588650345365285e-05,5.080543732135793e-22,0.0009007686691065564
unconflicted,0.0,0.49375451012177685,5.8153829130281045e-05,1.4332001950376216e-21,0.0009048597730485624
unconflicted,0.0,0.5064102788941831,6.083737275796379e-05,4.042998980686924e-21,0.0009056329462184134
unconflicted,0.0,0.5190660476665894,6.364474224803717e-05,1.1407469213034124e-20,0.0008961549527917908
unconflicted,0.0,0.5317218164389956,6.658165051194445e-05,3.219382134135766e-20,0.0008913652769065393
unconflicted,0.0,0.5443775852114019,6.965407396550253e-05,9.085873684500081e-20,0.0008873643065966046
unconflicted,0.0,0.5570333539838082,7.286826467623687e-05,2.564320910964382e-19,0.0008849160014330764
unconflicted,0.0,0.5696891227562144,7.623076307007316e-05,7.237526539449841e-19,0.0008893139973594563
unconflicted,0.0,0.5823448915286207,7.974841122308106e-05,2.0427758464848485e-18,0.0008878543515347975
unconflicted,0.0,0.5950006603010269,8.342836676514541e-05,5.765867713007709e-18,0.0009030377411000181
unconflicted,0.0,0.6076564290734333,8.72781174236643e-05,1.627506562410956e-17,0.0009021623901603835
unconflicted,0.0,0.6203121978458396,9.130549623665917e-05,4.5940495171574256e-17,0.0009101487113030543
unconflicted,0.0,0.6329679666182458,9.551869746602352e-05,1.296833488169678e-16,0.0009182485817128823
unconflicted,0.0,0.6456237353906521,9.992629324303998e-05,3.660911193899326e-16,0.0009167783065218699
unconflicted,0.0,0.6582795041630584,0.0001045372509797576,1.0335023183693298e-15,0.0009195084478129033
unconflicted,0.0,0.6709352729354646,0.00010936095158135918,2.9177756463252353e-15,0.0009431314515096997
unconflicted,0.0,0.6835910417078709,0.00011440720849624236,8.2378039637046e-15,0.0009674646623036438
unconflicted,0.0,0.6962468104802771,0.00011968628764221432,2.3259004048010128e-14,0.0009757002928381042
unconflicted,0.0,0.7089025792526834,0.00012520892824894852,6.567376497374456e-14,0.000978205371024282
unconflicted,0.0,0.7215583480250897,0.00013098636465867154,1.8544491924021395e-13,0.0009953072101065274
unconflicted,0.0,0.7342141167974959,0.00013703034912896546,5.114798860669564e-13,0.001014556464052133
unconflicted,0.0,0.7468698855699022,0.00014335317568355487,1.3463223970897848e-12,0.0010292152904692097
unconflicted,0.0,0.7595256543423085,0.00014996770505903428,3.933517394314132e-12,0.0010533315283435154
unconflicted,0.0,0.7721814231147147,0.00015688739079766677,1.165797170632915e-11,0.0010746395463786735
unconflicted,0.0,0.784837191887121,0.0001641263065386503,3.310803817947535e-11,0.0011007344867778686
unconflicted,0.0,0.7974929606595272,0.00017169917456262936,9.361793673312762e-11,0.0011134801809976036
unconflicted,0.0,0.8101487294319335,0.00017962139564669862,2.6479467039523687e-10,0.0011579164106414522
unconflicted,0.0,0.8228044982043398,0.0001879090802897355,8.665583446891173e-10,0.0011853096145149264
unconflicted,0.0,0.835460266976746,0.00019657908137060226,2.6391226459779032e-09,0.0012282020550652612
unconflicted,0.0,0.8481160357491523,0.0002056490283045695,8.043136943452476e-09,0.0012584465189993043
unconflicted,0.0,0.8607718045215585,0.00021513736276626986,2.149634463065109e-08,0.0012827529680146323
unconflicted,0.0,0.8734275732939648,0.00022506337605055117,5.839320821660376e-08,0.0013172957931739718
unconflicted,0.0,0.8860833420663711,0.00023544724814581277,1.0880203857976719e-07,0.0013829570609628567
