question_id,gold_hops,r,likelihood,margin
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0.0,0.40747381151161594,-1.6354166720605765
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0.3333333333333333,0.9383133452894604,4.281250010894534
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0.6666666666666666,0.9462116432115025,3.3536932121814145
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1.0,0.9849862527463213,4.562499979394488
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,0.0,0.509859550133919,-0.4652778532149063
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,0.5,0.6995101464359708,1.57812499278225
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,1.0,0.9981685878623107,6.645833477547664
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,2,0.0,0.47743507667100143,-0.645833397594591
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,2,0.5,0.9943305818609458,6.458333365269937
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,2,1.0,0.9989677689617448,6.8749999985448085
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,2,0.0,0.5309506380026803,0.10763888107612729
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,2,0.5,0.9489964883247284,2.9999999729916453
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,2,1.0,0.9987865184103796,6.729166589201971
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,2,0.0,0.49410447459467854,-0.22916660395761337
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,2,0.5,0.9955254324775306,5.833333239910037
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,2,1.0,0.9996974136938016,8.312500008372202
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,2,0.0,0.5834866871019773,0.11458326793379252
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,2,0.5,0.9785638656287038,3.8437500377185643
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,2,1.0,0.9993330120055223,7.541666741997081
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,2,0.0,0.47840027355366915,-0.7708333551418036
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,2,1.0,0.9865439356870258,5.149305618245207
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,0.0,0.4674124530918566,-1.0416666998062283
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,0.3333333333333333,0.7499134136831795,2.5902777342158108
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,0.6666666666666666,0.9042747556518974,4.562499920056628
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,2,0.0,0.3654502167345623,-1.6979166054322075
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,2,0.5,0.8739597225059743,2.437499988824129
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,2,1.0,0.9962697624208822,6.354166588425869
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,2,0.0,0.5052953239313722,0.15625003802900514
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,2,0.5,0.9976121388639836,7.48958325405935
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,2,1.0,0.9968273173566984,5.750000062980689
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,2,0.0,0.44679305506279005,-1.1562500814131151
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,2,1.0,0.9993162403875994,7.333333272792515
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,2,0.0,0.47176232944675145,-0.5104166926660886
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,2,0.5,0.877334710383134,2.406249999689559
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,2,1.0,0.9979087305867278,6.229166534535277
